capacitance_in_uf;width_in_mm;multiplier_1;height_in_mm;multiplier_2;length_in_mm;p1_in_mm;ordering code;i_rms_max_85degree_in_A;ESR_85degree_in_mOhm;ESL_in_nH;tan_delta_max_1kHz_in_e-3;tan_delta_max_10kHz_in_e-3;MOQ;V_R_85degree;V_op_105degree;V_op_125degree
1.5;11.0;x;19.0;x;31.5;-;B32774P6155+000;3.5;22.3;13.2;0.8;3.5;1280;630;540;450
2.2;12.5;x;21.5;x;31.5;-;B32774P6225+000;4.7;15.5;14.5;0.8;3.5;1120;630;540;450
3.0;14.0;x;24.5;x;31.5;-;B32774P6305+000;6.0;11.5;16.1;0.8;3.5;1040;630;540;450
4.7;18.0;x;27.5;x;31.5;-;B32774P6475+000;8.2;7.6;18.7;0.8;3.7;800;630;540;450
6.8;21.0;x;31.0;x;31.5;-;B32774P6685+000;10.4;5.4;21.3;0.8;3.9;720;630;540;450
8.0;22.0;x;36.5;x;31.5;*);B32774P6805+000;12.0;4.5;24.0;0.8;4.0;640;630;540;450
1.5;11.0;x;19.0;x;31.5;-;B32774P7155+000;3.6;20.3;18.4;0.8;3.2;1280;700;600;500
2.0;12.5;x;21.5;x;31.5;-;B32774P7205+000;4.7;15.3;19.8;0.8;3.2;1120;700;600;500
3.3;18.0;x;27.5;x;31.5;-;B32774P7335+000;7.3;9.6;22.9;0.8;3.3;800;700;600;500
4.7;19.0;x;30.0;x;31.5;-;B32774P7475+000;9.0;6.9;25.8;0.8;3.4;720;700;600;500
7.0;22.0;x;36.5;x;31.5;*);B32774P7705+000;11.8;5.0;31.2;0.8;3.7;640;700;600;500
1.0;11.0;x;19.0;x;31.5;-;B32774P8105+000;3.3;25.2;18.3;0.8;2.7;1280;840;720;600
1.5;12.5;x;21.5;x;31.5;-;B32774P8155+000;4.4;17.2;20.2;0.8;2.7;1120;840;720;600
3.0;18.0;x;27.5;x;31.5;-;B32774P8305+000;7.5;9.1;25.6;0.8;2.8;800;840;720;600
5.0;22.0;x;36.5;x;31.5;*);B32774P8505+000;12.5;5.8;31.6;0.8;3.0;640;840;720;600
5.0;24.0;x;15.0;x;42.0;-;B32776P6505+000;6.0;13.4;19.4;0.9;6.9;1040;630;540;450
7.5;24.0;x;19.0;x;42.0;-;B32776P6755K000;7.6;9.5;19.6;0.9;6.9;780;630;540;450
10.0;18.0;x;32.5;x;42.0;-;B32776P6106K000;9.6;7.0;23.4;0.9;7.2;720;630;540;450
15.0;20.0;x;39.5;x;42.0;10.2;B32776P6156K000;13.0;4.8;12.4;0.9;7.1;640;630;540;450
20.0;28.0;x;37.0;x;42.0;10.2;B32776P6206K000;16.0;3.6;11.5;0.9;7.1;440;630;540;450
22.0;28.0;x;42.5;x;42.0;10.2;B32776P6226K000;17.5;3.2;13.2;0.9;7.3;440;630;540;450
25.0;30.0;x;45.0;x;42.0;20.3;B32776P6256+000;19.5;2.9;13.9;0.9;7.4;400;630;540;450
30.0;33.0;x;48.0;x;42.0;20.3;B32776P6306+000;22.5;2.4;15.1;0.9;7.6;180;630;540;450
3.9;24.0;x;15.0;x;42.0;-;B32776P7395+000;5.6;15.3;19.2;0.8;6.2;1040;700;600;500
5.0;24.0;x;19.0;x;42.0;-;B32776P7505+000;6.8;12.1;19.1;0.8;6.3;780;700;600;500
12.0;20.0;x;39.5;x;42.0;10.2;B32776P7126K000;12.5;5.3;12.4;0.8;6.4;640;700;600;500
14.0;28.0;x;37.0;x;42.0;10.2;B32776P7146+000;14.5;4.4;11.3;0.8;6.4;440;700;600;500
16.0;28.0;x;42.5;x;42.0;10.2;B32776P7166+000;16.0;3.9;12.5;0.8;6.5;440;700;600;500
20.0;30.0;x;45.0;x;42.0;20.3;B32776P7206+000;19.0;3.2;13.5;0.8;6.6;400;700;600;500
22.0;33.0;x;48.0;x;42.0;20.3;B32776P7226+000;20.5;2.9;14.2;0.9;6.7;180;700;600;500
2.7;24.0;x;15.0;x;42.0;-;B32776P8275+000;5.2;18.6;19.2;0.8;5.2;1040;840;720;600
3.5;24.0;x;19.0;x;42.0;-;B32776P8355+000;6.2;14.3;19.2;0.8;5.2;780;840;720;600
8.0;20.0;x;39.5;x;42.0;10.2;B32776P8805+000;11.0;6.3;12.4;0.8;5.3;640;840;720;600
10.0;28.0;x;37.0;x;42.0;10.2;B32776P8106+000;13.5;5.1;11.5;0.8;5.3;440;840;720;600
12.0;28.0;x;42.5;x;42.0;10.2;B32776P8126+000;15.0;4.4;12.8;0.8;5.4;440;840;720;600
14.0;30.0;x;45.0;x;42.0;20.3;B32776P8146+000;17.0;3.8;13.7;0.8;5.5;400;840;720;600
16.0;33.0;x;48.0;x;42.0;20.3;B32776P8166+000;19.0;3.3;14.5;0.8;5.5;180;840;720;600
35.0;30.0;x;45.0;x;57.5;20.3;B32778P6356+000;18.5;4.0;13.9;1.6;14.3;280;630;540;450
50.0;35.0;x;50.0;x;57.5;20.3;B32778P6506K000;23.5;2.9;16.0;1.6;14.8;108;630;540;450
30.0;30.0;x;45.0;x;57.5;20.3;B32778P7306+000;18.5;4.2;14.2;1.5;12.9;280;700;600;500
40.0;35.0;x;50.0;x;57.5;20.3;B32778P7406+000;22.5;3.2;15.9;1.5;13.2;108;700;600;500
20.0;30.0;x;45.0;x;57.5;20.3;B32778P8206+000;16.5;5.1;14.0;1.2;10.6;280;840;720;600
27.0;35.0;x;50.0;x;57.5;20.3;B32778P8276+000;20.5;3.9;15.7;1.3;10.8;108;840;720;600
