capacitance_in_uf;width_in_mm;multiplier_1;height_in_mm;multiplier_2;length_in_mm;p1_in_mm;ordering code;i_rms_max_85degree_in_A;ESR_85degree_in_mOhm;ESL_in_nH;tan_delta_max_1kHz_in_e-3;tan_delta_max_10kHz_in_e-3;MOQ;V_R_85degree;V_op_105degree;V_op_125degree
2.5;11.0;x;19.0;x;31.5;-;B32714P6255K000;3.5;25.5;20.0;1.0;6.5;2352;600;600;400
3.0;11.0;x;21.0;x;31.5;-;B32714P6305K000;3.9;21.8;21.0;1.0;6.5;2352;600;600;400
4.0;13.5;x;23.0;x;31.5;-;B32714P6405+000;4.9;15.8;23.0;1.0;6.6;1932;600;600;400
5.0;15.0;x;24.5;x;31.5;-;B32714P6505+000;5.7;12.8;25.0;1.0;6.6;1680;600;600;400
6.0;16.0;x;30.0;x;31.5;-;B32714P6605+000;6.8;10.8;27.0;1.0;6.7;1064;600;600;400
7.0;16.0;x;30.0;x;31.5;-;B32714P6705+000;7.3;9.4;30.0;1.0;6.8;1064;600;600;400
8.0;19.0;x;30.0;x;31.5;-;B32714P6805+000;8.1;8.3;29.0;1.0;6.9;896;600;600;400
9.0;18.0;x;33.0;x;31.5;-;B32714P6905+000;8.7;7.5;33.0;1.0;7.0;952;600;600;400
10.0;21.0;x;31.0;x;31.5;-;B32714P6106+000;9.3;6.8;32.0;1.0;7.0;784;600;600;400
12.0;22.0;x;36.5;x;31.5;*);B32714P6126+000;10.5;5.8;35.0;1.0;7.3;784;600;600;400
14.0;22.0;x;36.5;x;31.5;*);B32714P6146K000;11.0;5.4;37.0;1.0;7.4;784;600;600;400
2.0;11.0;x;21.0;x;31.5;-;B32714P3205+000;3.4;28.5;20.0;0.9;5.8;2352;675;675;450
2.5;12.5;x;21.5;x;31.5;-;B32714P3255+000;3.9;22.4;21.0;0.9;5.8;2100;675;675;450
3.0;13.5;x;23.0;x;31.5;-;B32714P3305+000;4.5;18.8;22.0;0.9;5.8;1932;675;675;450
4.0;15.0;x;24.5;x;31.5;-;B32714P3405+000;5.4;14.2;25.0;0.9;5.9;1680;675;675;450
5.0;16.0;x;30.0;x;31.5;-;B32714P3505+000;6.6;11.5;28.0;0.9;6.0;1064;675;675;450
6.0;19.0;x;30.0;x;31.5;-;B32714P3605+000;7.4;9.7;28.0;0.9;6.1;896;675;675;450
7.0;18.0;x;33.0;x;31.5;-;B32714P3705+000;8.1;8.5;33.0;0.9;6.2;952;675;675;450
8.0;21.0;x;31.0;x;31.5;-;B32714P3805+000;8.8;7.5;32.0;0.9;6.2;784;675;675;450
10.0;22.0;x;36.5;x;31.5;*);B32714P3106+000;10.6;6.2;36.0;1.0;6.5;784;675;675;450
1.5;11.0;x;21.0;x;31.5;-;B32714P7155+000;3.2;31.6;20.0;0.9;4.9;2352;750;750;600
2.0;12.5;x;21.5;x;31.5;-;B32714P7205+000;3.8;23.9;22.0;0.9;4.9;2100;750;750;600
2.5;13.5;x;23.0;x;31.5;-;B32714P7255+000;4.4;19.2;23.0;0.9;5.0;1932;750;750;600
3.0;15.0;x;24.5;x;31.5;-;B32714P7305+000;5.0;16.1;25.0;0.9;5.0;1680;750;750;600
4.0;16.0;x;30.0;x;31.5;-;B32714P7405+000;6.3;12.3;28.0;0.9;5.1;1064;750;750;600
5.0;19.0;x;30.0;x;31.5;-;B32714P7505+000;7.4;10.0;30.0;0.9;5.2;896;750;750;600
6.0;21.0;x;31.0;x;31.5;-;B32714P7605+000;8.4;8.5;31.0;0.9;5.3;784;750;750;600
7.0;22.0;x;36.5;x;31.5;*);B32714P7705+000;9.7;7.4;34.0;0.9;5.4;784;750;750;600
8.0;22.0;x;36.5;x;31.5;*);B32714P7805+000;10.3;6.6;37.0;0.9;5.5;784;750;750;600
1.0;11.0;x;19.0;x;31.5;-;B32714P8105+000;2.7;42.0;18.0;0.9;4.5;2352;825;825;660
1.5;12.5;x;21.5;x;31.5;-;B32714P8155+000;3.5;28.2;21.0;0.9;4.5;2100;825;825;660
2.0;13.5;x;23.0;x;31.5;-;B32714P8205+000;4.2;21.8;23.0;0.9;4.5;1932;825;825;660
2.5;15.0;x;24.5;x;31.5;-;B32714P8255+000;4.8;17.6;25.0;0.9;4.6;1680;825;825;660
3.5;16.0;x;30.0;x;31.5;-;B32714P8355+000;6.2;12.9;30.0;0.9;4.7;1064;825;825;660
4.0;19.0;x;30.0;x;31.5;-;B32714P8405+000;6.9;11.3;29.0;0.9;4.7;896;825;825;660
5.0;21.0;x;31.0;x;31.5;-;B32714P8505+000;8.1;9.1;32.0;0.9;4.8;784;825;825;660
6.0;22.0;x;36.5;x;31.5;*);B32714P8605+000;9.4;7.8;35.0;0.9;4.9;784;825;825;660
7.0;22.0;x;36.5;x;31.5;*);B32714P8705K000;9.7;7.2;37.0;0.9;5.0;784;825;825;660
1.0;11.0;x;19.0;x;31.5;-;B32714P9105+000;2.8;40.0;19.0;0.9;4.1;2352;900;900;720
1.5;12.5;x;21.5;x;31.5;-;B32714P9155K000;3.6;27.9;22.0;0.9;4.2;2100;900;900;720
2.0;15.0;x;24.5;x;31.5;-;B32714P9205+000;4.6;20.3;24.0;0.9;4.2;1680;900;900;720
3.0;16.0;x;30.0;x;31.5;-;B32714P9305+000;6.0;13.8;30.0;0.9;4.3;1064;900;900;720
3.5;19.0;x;30.0;x;31.5;-;B32714P9355+000;6.8;11.9;30.0;0.9;4.3;896;900;900;720
4.0;18.0;x;33.0;x;31.5;-;B32714P9405+000;7.4;10.6;34.0;0.9;4.4;952;900;900;720
5.0;22.0;x;36.5;x;31.5;*);B32714P9505+000;8.9;8.7;35.0;0.9;4.5;784;900;900;720
5.5;22.0;x;36.5;x;31.5;*);B32714P9555+000;9.3;7.9;37.0;0.9;4.5;784;900;900;720
0.68;11.0;x;19.0;x;31.5;-;B32714P0684+000;2.5;48.0;19.0;0.9;3.4;2352;1050;1050;840
1.0;12.5;x;21.5;x;31.5;-;B32714P0105K000;3.2;33.5;22.0;0.9;3.4;2100;1050;1050;840
1.5;15.0;x;24.5;x;31.5;-;B32714P0155+000;4.3;22.1;25.0;0.9;3.4;1680;1050;1050;840
2.0;18.0;x;27.5;x;31.5;-;B32714P0205+000;5.5;16.7;27.0;0.9;3.5;1428;1050;1050;840
2.5;19.0;x;30.0;x;31.5;-;B32714P0255+000;6.4;13.6;30.0;0.9;3.5;896;1050;1050;840
3.0;21.0;x;31.0;x;31.5;*);B32714P0305K000;7.1;11.7;32.0;0.9;3.6;784;1050;1050;840
3.5;22.0;x;36.5;x;31.5;*);B32714P0355+000;8.2;10.0;35.0;0.9;3.6;784;1050;1050;840
4.0;22.0;x;36.5;x;31.5;*);B32714P0405K000;8.6;9.2;37.0;0.9;3.7;784;1050;1050;840
0.47;11.0;x;19.0;x;31.5;-;B32714P1474+000;2.3;59.7;19.0;0.9;3.0;2352;1200;1200;960
0.68;12.5;x;21.5;x;31.5;-;B32714P1684+000;2.9;41.5;21.0;0.9;3.0;2100;1200;1200;960
0.82;13.5;x;23.0;x;31.5;-;B32714P1824+000;3.3;35.3;22.0;0.9;3.0;1932;1200;1200;960
1.0;14.0;x;24.5;x;31.5;-;B32714P1105+000;3.7;29.3;25.0;0.9;3.0;1848;1200;1200;960
1.5;18.0;x;27.5;x;31.5;-;B32714P1155+000;5.0;19.7;27.0;0.9;3.1;1428;1200;1200;960
