capacitance_in_uf;width_in_mm;multiplier_1;height_in_mm;multiplier_2;length_in_mm;p1_in_mm;ordering code;i_rms_max_85degree_in_A;ESR_85degree_in_mOhm;ESL_in_nH;MOQ;V_R_85degree;V_op_105degree;V_op_125degree
2.2;11.0;x;19.0;x;31.5;-;B32724A8225+000;3.9;29.3;12.0;1280;800;800;440
3.0;11.0;x;21.0;x;31.5;-;B32724A8305+000;5.0;20.5;14.0;1280;800;800;440
4.0;13.5;x;23.0;x;31.5;-;B32724A8405+000;6.3;15.0;16.0;1040;800;800;440
5.0;14.0;x;24.5;x;31.5;-;B32724A8505K000;7.0;13.0;17.0;1040;800;800;440
6.0;14.0;x;28.0;x;31.5;-;B32724A8605K000;7.8;10.9;18.0;1848;800;800;440
7.0;16.0;x;30.0;x;31.5;-;B32724A8705+000;9.0;9.0;20.0;1064;800;800;440
8.0;16.0;x;32.0;x;31.5;-;B32724A8805+000;9.5;8.2;20.0;880;800;800;440
9.0;18.0;x;33.0;x;31.5;-;B32724A8905+000;11.0;7.3;21.0;800;800;800;440
10.0;21.0;x;31.0;x;31.5;-;B32724A8106+000;11.5;6.7;21.0;720;800;800;440
12.0;22.0;x;36.5;x;31.5;-;B32724A8126+000;13.5;5.6;23.0;640;800;800;440
2.0;11.0;x;19.0;x;31.5;-;B32724A9205+000;4.1;26.3;12.0;1280;900;900;495
2.5;12.5;x;21.5;x;31.5;-;B32724A9255+000;5.2;21.2;15.0;1120;900;900;495
3.0;13.5;x;23.0;x;31.5;-;B32724A9305+000;5.8;17.7;16.0;1040;900;900;495
4.0;15.0;x;24.5;x;31.5;-;B32724A9405+000;7.0;13.8;17.0;960;900;900;495
5.0;16.0;x;30.0;x;31.5;-;B32724A9505+000;8.3;11.0;20.0;1064;900;900;495
6.0;16.0;x;30.0;x;31.5;-;B32724A9605K000;8.7;9.9;20.0;1064;900;900;495
7.0;18.0;x;33.0;x;31.5;-;B32724A9705+000;10.5;8.1;21.0;800;900;900;495
8.0;21.0;x;31.0;x;31.5;-;B32724A9805K000;11.3;7.5;21.0;720;900;900;495
10.0;22.0;x;36.5;x;31.5;-;B32724A9106+000;12.5;6.1;23.0;640;900;900;495
1.5;11.0;x;19.0;x;31.5;-;B32724A0155+000;3.8;31.6;12.0;1280;1000;1000;550
2.0;12.5;x;21.5;x;31.5;-;B32724A0205+000;4.9;23.9;15.0;1120;1000;1000;550
3.0;14.0;x;24.5;x;31.5;-;B32724A0305+000;6.3;16.3;17.0;1040;1000;1000;550
4.5;16.0;x;30.0;x;31.5;-;B32724A0455+000;8.2;11.3;20.0;1064;1000;1000;550
6.0;18.0;x;33.0;x;31.5;-;B32724A0605+000;9.2;9.0;21.0;800;1000;1000;550
8.0;22.0;x;36.5;x;31.5;-;B32724A0805+000;12.8;6.6;23.0;640;1000;1000;550
1.0;11.0;x;19.0;x;31.5;-;B32724A1105+000;3.5;37.6;12.0;1280;1200;1200;665
1.5;12.5;x;21.5;x;31.5;-;B32724A1155+000;4.7;26.1;15.0;1120;1200;1200;665
2.0;14.0;x;24.5;x;31.5;-;B32724A1205+000;5.8;19.6;17.0;1040;1200;1200;665
3.0;16.0;x;30.0;x;31.5;-;B32724A1305+000;7.5;13.3;20.0;1064;1200;1200;665
4.0;18.0;x;33.0;x;31.5;-;B32724A1405+000;9.4;10.4;21.0;800;1200;1200;665
5.0;22.0;x;36.5;x;31.5;-;B32724A1505+000;11.6;8.2;23.0;640;1200;1200;665
5.5;22.0;x;36.5;x;31.5;-;B32724A1555+000;12.0;7.7;23.0;640;1200;1200;665
5.0;12.0;x;22.0;x;42.0;-;B32726A8505K000;5.5;24.9;17.7;1620;800;800;440
6.0;14.0;x;25.0;x;42.0;-;B32726A8605+000;6.5;19.4;19.6;1380;800;800;440
7.0;24.0;x;15.0;x;42.0;-;B32726T8705K000;6.8;17.8;12.0;1040;800;800;440
8.0;16.0;x;28.5;x;42.0;-;B32726A8805+000;8.0;14.7;21.8;800;800;800;440
9.0;24.0;x;19.0;x;42.0;-;B32726T8905K000;8.0;14.0;13.0;780;800;800;440
10.0;17.0;x;32.0;x;42.0;-;B32726A8106+000;9.2;11.9;22.9;760;800;800;440
12.0;18.0;x;32.5;x;42.0;-;B32726A8126+000;10.0;10.0;23.0;720;800;800;440
15.0;20.0;x;39.5;x;42.0;10.2;B32726G8156+000*;12.5;7.9;13.0;640;800;800;440
22.0;28.0;x;37.0;x;42.0;10.2;B32726G8226+000*;16.2;5.4;14.0;440;800;800;440
25.0;24.0;x;44.0;x;42.0;12.7;B32726G8256+000*;17.8;4.8;15.0;520;800;800;440
30.0;30.0;x;45.0;x;42.0;20.3;B32726G8306+000*;21.0;4.1;15.5;400;800;800;440
35.0;33.0;x;48.0;x;42.0;20.3;B32726G8356+000*;23.6;3.5;16.5;180;800;800;440
40.0;33.0;x;48.0;x;42.0;20.3;B32726G8406K000*;24.0;3.4;16.5;180;800;800;440
4.0;12.0;x;22.0;x;42.0;-;B32726A9405K000;5.0;27.9;17.7;1620;900;900;495
5.0;14.0;x;25.0;x;42.0;-;B32726A9505+000;6.0;20.8;19.6;1380;900;900;495
5.0;24.0;x;15.0;x;42.0;-;B32726T9505+000;6.0;21.3;12.0;1040;900;900;495
7.0;16.0;x;28.5;x;42.0;-;B32726A9705+000;7.7;15.0;21.8;800;900;900;495
7.0;24.0;x;19.0;x;42.0;-;B32726T9705+000;7.5;15.3;13.0;780;900;900;495
8.0;17.0;x;32.0;x;42.0;-;B32726A9805+000;8.5;13.2;22.9;760;900;900;495
10.0;18.0;x;32.5;x;42.0;-;B32726A9106+000;9.7;11.0;23.0;720;900;900;495
15.0;20.0;x;39.5;x;42.0;10.2;B32726G9156K000*;13.0;7.6;12.5;640;900;900;495
20.0;24.0;x;44.0;x;42.0;12.7;B32726G9206+000*;16.0;5.7;14.0;520;900;900;495
22.0;28.0;x;42.5;x;42.0;10.2;B32726G9226+000*;18.0;5.0;15.0;440;900;900;495
25.0;30.0;x;45.0;x;42.0;20.3;B32726G9256+000*;20.0;4.5;16.0;400;900;900;495
30.0;33.0;x;48.0;x;42.0;20.3;B32726G9306+000*;22.5;3.8;17.0;180;900;900;495
3.0;12.0;x;22.0;x;42.0;-;B32726A0305+000;4.7;31.5;17.7;1620;1000;1000;550
4.0;14.0;x;25.0;x;42.0;-;B32726A0405+000;5.7;23.4;19.6;1380;1000;1000;550
4.0;24.0;x;15.0;x;42.0;-;B32726T0405+000;5.7;23.9;11.5;1040;1000;1000;550
6.0;24.0;x;19.0;x;42.0;-;B32726T0605K000;7.0;16.9;13.0;780;1000;1000;550
6.0;16.0;x;28.5;x;42.0;-;B32726A0605+000;7.3;16.5;21.8;800;1000;1000;550
7.0;17.0;x;32.0;x;42.0;-;B32726A0705+000;8.3;14.0;22.9;760;1000;1000;550
8.0;18.0;x;32.5;x;42.0;-;B32726A0805+000;9.3;12.1;23.0;720;1000;1000;550
10.0;20.0;x;39.5;x;42.0;10.2;B32726G0106+000*;11.6;9.5;13.0;640;1000;1000;550
12.0;20.0;x;39.5;x;42.0;10.2;B32726G0126K000*;12.2;8.5;13.5;640;1000;1000;550
15.0;24.0;x;44.0;x;42.0;12.7;B32726G0156+000*;15.0;6.7;15.0;520;1000;1000;550
20.0;30.0;x;45.0;x;42.0;20.3;B32726G0206+000*;19.0;5.0;16.0;400;1000;1000;550
25.0;33.0;x;48.0;x;42.0;20.3;B32726G0256K000*;21.5;4.2;17.0;180;1000;1000;550
2.0;12.0;x;22.0;x;42.0;-;B32726A1205+000;4.3;38.2;17.7;1620;1200;1200;665
2.7;24.0;x;15.0;x;42.0;-;B32726T1275+000;5.2;28.1;11.5;1040;1200;1200;665
3.0;14.0;x;25.0;x;42.0;-;B32726A1305K000;5.3;27.0;19.6;1380;1200;1200;665
4.0;16.0;x;28.5;x;42.0;-;B32726A1405+000;6.6;19.9;21.8;800;1200;1200;665
4.0;24.0;x;19.0;x;42.0;-;B32726T1405K000;6.5;20.3;13.0;780;1200;1200;665
5.0;17.0;x;32.0;x;42.0;-;B32726A1505K000;7.8;16.0;22.9;760;1200;1200;665
6.0;20.0;x;39.5;x;42.0;10.2;B32726G1605+000*;9.0;13.2;23.0;640;1200;1200;665
8.0;20.0;x;39.5;x;42.0;10.2;B32726G1805K000*;11.3;10.1;13.0;640;1200;1200;665
10.0;28.0;x;37.0;x;42.0;10.2;B32726G1106K000*;13.7;7.9;14.0;440;1200;1200;665
11.0;24.0;x;44.0;x;42.0;12.7;B32726G1116K000*;13.7;7.3;15.0;520;1200;1200;665
12.0;28.0;x;42.5;x;42.0;10.2;B32726G1126+000*;15.5;6.6;15.0;440;1200;1200;665
14.0;30.0;x;45.0;x;42.0;20.3;B32726G1146K000*;17.6;5.7;16.0;400;1200;1200;665
16.0;33.0;x;48.0;x;42.0;20.3;B32726G1166+000*;20.0;4.9;17.0;180;1200;1200;665
45.0;30.0;x;45.0;x;57.5;20.3;B32728G8456+000;19.5;5.5;14.5;280;800;800;440
60.0;35.0;x;50.0;x;57.5;20.3;B32728G8606+000;24.0;4.2;16.5;108;800;800;440
35.0;30.0;x;45.0;x;57.5;20.3;B32728G9356+000;18.5;6.2;14.5;280;900;900;495
50.0;35.0;x;50.0;x;57.5;20.3;B32728G9506K000;23.0;4.6;16.5;108;900;900;495
30.0;30.0;x;45.0;x;57.5;20.3;B32728G0306K000;18.0;6.8;15.0;280;1000;1000;550
40.0;35.0;x;50.0;x;57.5;20.3;B32728G0406K000;22.0;5.2;16.5;108;1000;1000;550
20.0;30.0;x;45.0;x;57.5;20.3;B32728G1206K000;16.5;8.2;14.5;280;1200;1200;665
27.0;35.0;x;50.0;x;57.5;20.3;B32728G1276K000;20.5;6.2;16.0;108;1200;1200;665
