width_in_mm;height_in_mm;length_in_mm;g_in_mW_degreeCelsius
11.0;19.0;31.5;24
11.0;21.0;31.5;28
12.5;21.5;31.5;30
13.5;23.0;31.5;32
14.0;24.5;31.5;35
15.0;24.5;31.5;36
16.0;30.0;31.5;40
18.0;27.5;31.5;44
18.0;33.0;31.5;48
19.0;30.0;31.5;48
21.0;31.0;31.5;51
22.0;36.5;31.5;58
18.0;32.5;42.0;59
18.5;35.5;42.0;64
20.0;39.5;42.0;72
22.0;37.0;42.0;72
24.0;19.0;42.0;48
24.0;15.0;42.0;44
28.0;37.0;42.0;83
24.0;44.0;42.0;84
28.0;42.5;42.0;90
30.0;45.0;42.0;100
33.0;48.0;42.0;110
35.0;50.0;42.0;117
35.0;54.0;42.0;124
38.0;57.0;42.0;133
42.5;60.0;42.5;150
